image,label
003184.jpg,data/labels/003184.txt
000218.jpg,data/labels/000218.txt
003203.jpg,data/labels/003203.txt
003585.jpg,data/labels/003585.txt
000275.jpg,data/labels/000275.txt
000051.jpg,data/labels/000051.txt
002869.jpg,data/labels/002869.txt
001781.jpg,data/labels/001781.txt
001756.jpg,data/labels/001756.txt
001456.jpg,data/labels/001456.txt
002468.jpg,data/labels/002468.txt
002823.jpg,data/labels/002823.txt
000497.jpg,data/labels/000497.txt
003683.jpg,data/labels/003683.txt
001160.jpg,data/labels/001160.txt
003813.jpg,data/labels/003813.txt
002571.jpg,data/labels/002571.txt
003401.jpg,data/labels/003401.txt
001184.jpg,data/labels/001184.txt
001333.jpg,data/labels/001333.txt
001848.jpg,data/labels/001848.txt
000253.jpg,data/labels/000253.txt
000455.jpg,data/labels/000455.txt
003468.jpg,data/labels/003468.txt
002240.jpg,data/labels/002240.txt
002213.jpg,data/labels/002213.txt
000328.jpg,data/labels/000328.txt
001280.jpg,data/labels/001280.txt
003617.jpg,data/labels/003617.txt
001155.jpg,data/labels/001155.txt
000006.jpg,data/labels/000006.txt
003677.jpg,data/labels/003677.txt
001506.jpg,data/labels/001506.txt
003407.jpg,data/labels/003407.txt
000633.jpg,data/labels/000633.txt
002579.jpg,data/labels/002579.txt
003446.jpg,data/labels/003446.txt
000604.jpg,data/labels/000604.txt
001321.jpg,data/labels/001321.txt
002275.jpg,data/labels/002275.txt
000544.jpg,data/labels/000544.txt
000872.jpg,data/labels/000872.txt
001510.jpg,data/labels/001510.txt
003146.jpg,data/labels/003146.txt
000165.jpg,data/labels/000165.txt
001021.jpg,data/labels/001021.txt
003657.jpg,data/labels/003657.txt
001711.jpg,data/labels/001711.txt
001240.jpg,data/labels/001240.txt
003467.jpg,data/labels/003467.txt
002278.jpg,data/labels/002278.txt
002105.jpg,data/labels/002105.txt
001960.jpg,data/labels/001960.txt
001913.jpg,data/labels/001913.txt
001082.jpg,data/labels/001082.txt
002796.jpg,data/labels/002796.txt
000212.jpg,data/labels/000212.txt
002983.jpg,data/labels/002983.txt
000611.jpg,data/labels/000611.txt
003087.jpg,data/labels/003087.txt
001335.jpg,data/labels/001335.txt
003138.jpg,data/labels/003138.txt
002899.jpg,data/labels/002899.txt
000809.jpg,data/labels/000809.txt
002779.jpg,data/labels/002779.txt
000055.jpg,data/labels/000055.txt
001326.jpg,data/labels/001326.txt
000601.jpg,data/labels/000601.txt
001370.jpg,data/labels/001370.txt
001834.jpg,data/labels/001834.txt
001820.jpg,data/labels/001820.txt
002108.jpg,data/labels/002108.txt
001346.jpg,data/labels/001346.txt
003094.jpg,data/labels/003094.txt
003099.jpg,data/labels/003099.txt
002630.jpg,data/labels/002630.txt
002854.jpg,data/labels/002854.txt
000389.jpg,data/labels/000389.txt
001113.jpg,data/labels/001113.txt
002206.jpg,data/labels/002206.txt
001308.jpg,data/labels/001308.txt
001132.jpg,data/labels/001132.txt
002377.jpg,data/labels/002377.txt
001386.jpg,data/labels/001386.txt
002722.jpg,data/labels/002722.txt
000631.jpg,data/labels/000631.txt
000937.jpg,data/labels/000937.txt
003123.jpg,data/labels/003123.txt
003572.jpg,data/labels/003572.txt
000306.jpg,data/labels/000306.txt
000109.jpg,data/labels/000109.txt
002016.jpg,data/labels/002016.txt
002776.jpg,data/labels/002776.txt
000514.jpg,data/labels/000514.txt
003646.jpg,data/labels/003646.txt
002403.jpg,data/labels/002403.txt
001994.jpg,data/labels/001994.txt
000775.jpg,data/labels/000775.txt
000768.jpg,data/labels/000768.txt
002855.jpg,data/labels/002855.txt
002762.jpg,data/labels/002762.txt
001092.jpg,data/labels/001092.txt
000605.jpg,data/labels/000605.txt
000812.jpg,data/labels/000812.txt
000679.jpg,data/labels/000679.txt
000508.jpg,data/labels/000508.txt
002390.jpg,data/labels/002390.txt
001111.jpg,data/labels/001111.txt
003289.jpg,data/labels/003289.txt
002999.jpg,data/labels/002999.txt
000477.jpg,data/labels/000477.txt
003779.jpg,data/labels/003779.txt
003649.jpg,data/labels/003649.txt
001236.jpg,data/labels/001236.txt
003938.jpg,data/labels/003938.txt
000758.jpg,data/labels/000758.txt
003319.jpg,data/labels/003319.txt
003957.jpg,data/labels/003957.txt
002820.jpg,data/labels/002820.txt
000591.jpg,data/labels/000591.txt
002134.jpg,data/labels/002134.txt
002573.jpg,data/labels/002573.txt
002153.jpg,data/labels/002153.txt
002534.jpg,data/labels/002534.txt
003552.jpg,data/labels/003552.txt
002919.jpg,data/labels/002919.txt
001621.jpg,data/labels/001621.txt
002057.jpg,data/labels/002057.txt
003008.jpg,data/labels/003008.txt
001622.jpg,data/labels/001622.txt
001723.jpg,data/labels/001723.txt
000975.jpg,data/labels/000975.txt
002061.jpg,data/labels/002061.txt
000747.jpg,data/labels/000747.txt
001381.jpg,data/labels/001381.txt
003651.jpg,data/labels/003651.txt
001868.jpg,data/labels/001868.txt
003687.jpg,data/labels/003687.txt
000377.jpg,data/labels/000377.txt
001782.jpg,data/labels/001782.txt
001923.jpg,data/labels/001923.txt
001620.jpg,data/labels/001620.txt
001523.jpg,data/labels/001523.txt
001375.jpg,data/labels/001375.txt
000022.jpg,data/labels/000022.txt
002917.jpg,data/labels/002917.txt
002038.jpg,data/labels/002038.txt
000333.jpg,data/labels/000333.txt
003350.jpg,data/labels/003350.txt
003952.jpg,data/labels/003952.txt
002093.jpg,data/labels/002093.txt
003455.jpg,data/labels/003455.txt
001379.jpg,data/labels/001379.txt
002602.jpg,data/labels/002602.txt
001090.jpg,data/labels/001090.txt
002990.jpg,data/labels/002990.txt
000617.jpg,data/labels/000617.txt
000981.jpg,data/labels/000981.txt
001941.jpg,data/labels/001941.txt
003524.jpg,data/labels/003524.txt
000524.jpg,data/labels/000524.txt
000563.jpg,data/labels/000563.txt
000870.jpg,data/labels/000870.txt
001878.jpg,data/labels/001878.txt
000664.jpg,data/labels/000664.txt
000364.jpg,data/labels/000364.txt
000830.jpg,data/labels/000830.txt
000414.jpg,data/labels/000414.txt
000230.jpg,data/labels/000230.txt
003034.jpg,data/labels/003034.txt
002597.jpg,data/labels/002597.txt
000659.jpg,data/labels/000659.txt
001048.jpg,data/labels/001048.txt
003903.jpg,data/labels/003903.txt
002541.jpg,data/labels/002541.txt
001382.jpg,data/labels/001382.txt
003466.jpg,data/labels/003466.txt
001654.jpg,data/labels/001654.txt
002594.jpg,data/labels/002594.txt
001012.jpg,data/labels/001012.txt
001124.jpg,data/labels/001124.txt
002615.jpg,data/labels/002615.txt
003009.jpg,data/labels/003009.txt
000057.jpg,data/labels/000057.txt
003907.jpg,data/labels/003907.txt
000243.jpg,data/labels/000243.txt
000263.jpg,data/labels/000263.txt
001038.jpg,data/labels/001038.txt
000994.jpg,data/labels/000994.txt
001213.jpg,data/labels/001213.txt
000807.jpg,data/labels/000807.txt
003463.jpg,data/labels/003463.txt
003343.jpg,data/labels/003343.txt
000723.jpg,data/labels/000723.txt
000715.jpg,data/labels/000715.txt
001239.jpg,data/labels/001239.txt
003644.jpg,data/labels/003644.txt
002890.jpg,data/labels/002890.txt
001788.jpg,data/labels/001788.txt
000133.jpg,data/labels/000133.txt
001096.jpg,data/labels/001096.txt
003274.jpg,data/labels/003274.txt
002793.jpg,data/labels/002793.txt
000425.jpg,data/labels/000425.txt
003941.jpg,data/labels/003941.txt
001367.jpg,data/labels/001367.txt
000910.jpg,data/labels/000910.txt
002041.jpg,data/labels/002041.txt
003409.jpg,data/labels/003409.txt
002866.jpg,data/labels/002866.txt
002732.jpg,data/labels/002732.txt
003213.jpg,data/labels/003213.txt
003510.jpg,data/labels/003510.txt
000186.jpg,data/labels/000186.txt
003412.jpg,data/labels/003412.txt
000038.jpg,data/labels/000038.txt
002874.jpg,data/labels/002874.txt
002504.jpg,data/labels/002504.txt
003710.jpg,data/labels/003710.txt
001267.jpg,data/labels/001267.txt
001116.jpg,data/labels/001116.txt
000085.jpg,data/labels/000085.txt
000305.jpg,data/labels/000305.txt
001779.jpg,data/labels/001779.txt
002076.jpg,data/labels/002076.txt
000912.jpg,data/labels/000912.txt
001776.jpg,data/labels/001776.txt
000114.jpg,data/labels/000114.txt
001529.jpg,data/labels/001529.txt
003667.jpg,data/labels/003667.txt
002979.jpg,data/labels/002979.txt
000177.jpg,data/labels/000177.txt
001145.jpg,data/labels/001145.txt
003030.jpg,data/labels/003030.txt
002545.jpg,data/labels/002545.txt
001302.jpg,data/labels/001302.txt
002992.jpg,data/labels/002992.txt
003852.jpg,data/labels/003852.txt
000931.jpg,data/labels/000931.txt
002481.jpg,data/labels/002481.txt
003700.jpg,data/labels/003700.txt
002963.jpg,data/labels/002963.txt
000774.jpg,data/labels/000774.txt
000538.jpg,data/labels/000538.txt
001564.jpg,data/labels/001564.txt
000523.jpg,data/labels/000523.txt
002215.jpg,data/labels/002215.txt
003794.jpg,data/labels/003794.txt
000862.jpg,data/labels/000862.txt
003029.jpg,data/labels/003029.txt
003702.jpg,data/labels/003702.txt
000099.jpg,data/labels/000099.txt
000749.jpg,data/labels/000749.txt
000839.jpg,data/labels/000839.txt
003096.jpg,data/labels/003096.txt
002478.jpg,data/labels/002478.txt
002755.jpg,data/labels/002755.txt
001768.jpg,data/labels/001768.txt
003462.jpg,data/labels/003462.txt
003093.jpg,data/labels/003093.txt
003373.jpg,data/labels/003373.txt
000710.jpg,data/labels/000710.txt
003485.jpg,data/labels/003485.txt
000654.jpg,data/labels/000654.txt
000761.jpg,data/labels/000761.txt
002878.jpg,data/labels/002878.txt
002880.jpg,data/labels/002880.txt
002327.jpg,data/labels/002327.txt
000822.jpg,data/labels/000822.txt
001195.jpg,data/labels/001195.txt
001265.jpg,data/labels/001265.txt
000700.jpg,data/labels/000700.txt
003318.jpg,data/labels/003318.txt
002555.jpg,data/labels/002555.txt
003768.jpg,data/labels/003768.txt
001569.jpg,data/labels/001569.txt
003840.jpg,data/labels/003840.txt
003140.jpg,data/labels/003140.txt
001931.jpg,data/labels/001931.txt
003003.jpg,data/labels/003003.txt
003042.jpg,data/labels/003042.txt
000968.jpg,data/labels/000968.txt
000401.jpg,data/labels/000401.txt
003653.jpg,data/labels/003653.txt
000548.jpg,data/labels/000548.txt
002977.jpg,data/labels/002977.txt
000159.jpg,data/labels/000159.txt
001070.jpg,data/labels/001070.txt
001732.jpg,data/labels/001732.txt
003672.jpg,data/labels/003672.txt
001737.jpg,data/labels/001737.txt
003691.jpg,data/labels/003691.txt
